ITEM_NO,NUMBER_INT,ZZ_PP,ZZ_ZJXH,ZZ_DZ,ZZ_GCZX,ZZ_GCBH,ZZ_CZYQ,CATEGORY_ID,QUANTITY,UNIT,DELIV_DATE,ZZ_EXTWG,ZZ_EWBEZ
843,843,42071,5,32553,5,1318,21,160,42305,8960,26017,32529,32529
764,764,42071,3158,32553,7,70,21,160,42305,8960,26017,32529,32529
715,715,42071,3158,32553,133,70,21,160,42305,8960,26017,32529,32529
658,658,42071,215,32553,25,335,21,160,42305,8960,26017,32529,32529
616,616,42071,3158,32553,37167,35202,21,28,42305,19723,26017,32529,32529
575,575,42071,21,32553,4,32,42265,160,42305,8960,26017,32529,32529
529,529,42071,3158,32553,2,217,21,28,42305,19723,26017,32529,32529
503,503,42071,38,32553,5,410,42265,28,42305,8960,26017,32529,32529
484,484,42071,26183,32553,37167,23,3,160,42305,8960,26017,32529,32529
462,462,42071,26183,32553,37167,335,42265,28,42305,19723,26017,32529,32529
439,439,42071,229,32553,5,1318,42265,160,42305,8960,26017,32529,32529
416,416,42071,52,32553,11,217,42265,160,42305,8960,26017,32529,32529
396,396,42071,53,32553,28,17,21,28,42305,19723,26017,32529,32529
379,379,42071,194,32553,37167,11,42265,160,42305,8960,26017,32529,32529
368,368,42071,21,32553,37167,529,21,28,42305,8960,26017,32529,32529
355,355,42071,195,32553,17,410,42265,160,42305,8960,26017,32529,32529
339,339,42071,162,32553,190,26,42265,160,42305,8960,26017,32529,32529
323,323,42071,26183,32553,37167,1318,21,28,42305,8960,26017,32529,32529
312,312,42071,2,32553,38,30,42265,160,42305,8960,26017,32529,32529
290,290,42071,30,32553,8,2,42265,160,42305,8960,26017,32529,32529
396,396,42071,40,32553,37167,529,42265,49,42305,19723,26017,32529,32529
379,379,42071,40,32553,8,1318,3,49,42305,19723,26017,32529,32529
368,368,42071,39,32553,40,35202,42265,371,42305,19723,26017,32529,32529
355,355,42071,39,32553,19,104,42265,371,42305,19723,26017,32529,32529
4155,4155,42071,29,32553,101,410,42265,48,42305,686,26017,32529,32529
2932,2932,42071,38,32553,190,1,42265,113,42305,19723,26017,32529,32529
2373,2373,42071,99,32553,133,24,21,363,42305,19723,26017,32529,32529
2010,2010,42071,40,32553,9,343,21,48,42305,19723,26017,32529,32529
1724,1724,42071,9,32553,5,529,42265,363,42305,19723,26017,32529,32529
1529,1529,42071,4,32553,22,335,42265,363,42305,19723,26017,32529,32529
1356,1356,42071,28,32553,37167,529,21,31,42305,19723,26017,32529,32529
1184,1184,42071,80,32553,213,217,42265,217,42305,19723,26017,32529,32529
1077,1077,42071,35,32553,25,55,42265,166,42305,19723,26017,32529,32529
994,994,42071,17,32553,23,1318,21,450,42305,19723,26017,32529,32529
908,908,42071,31,32553,37167,35202,21,450,42305,19723,26017,32529,32529
843,843,42071,64,32553,2,2,21,243,42305,686,26017,32529,32529
764,764,42071,64,32553,37167,3,21,243,42305,2068,26017,32529,32529
715,715,42071,15,32553,37167,1318,3,61,42305,19723,26017,32529,32529
658,658,42071,40,32553,1,1318,21,48,42305,19723,26017,32529,32529
616,616,42071,195,32553,37167,104,42265,60,42305,19723,26017,32529,32529
575,575,42071,150,32553,9,410,21,363,42305,19723,26017,32529,32529
529,529,42071,45,32553,4,1,42265,113,42305,19723,26017,32529,32529
503,503,42071,64,32553,17,403,42265,243,42305,19723,26017,32529,32529
484,484,42071,34,32553,2,41,42265,217,42305,2068,26017,32529,32529
128,128,42071,47,32553,6,27,21,59,42305,8960,26017,32529,32529
126,126,42071,10,32553,37167,46,42265,59,42305,8960,26017,32529,32529
124,124,42071,52,32553,14,410,21,59,42305,8960,26017,32529,32529
4155,4155,42071,52,32553,37167,217,42265,154,42305,8960,26017,32529,32529
2932,2932,42071,118,32553,133,76,21,154,42305,19723,26017,32529,32529
2373,2373,42071,143,32553,6,79,42265,11,42305,19723,26017,32529,32529
2010,2010,42071,79,32553,37167,46,21,154,42305,8960,26017,32529,32529
1724,1724,42071,229,32553,7,41,42265,154,42305,8960,26017,32529,32529
1529,1529,42071,3158,32553,3,529,21,154,42305,8960,26017,32529,32529
4155,4155,42071,40,32553,17,1318,21,154,42305,3058,26017,32529,32529
2932,2932,42071,156,32553,37167,335,42265,154,42305,3058,26017,32529,32529
2373,2373,42071,269,32553,7,403,42265,154,42305,3058,26017,32529,32529
2010,2010,42071,123,32553,37167,70,42265,154,42305,3058,26017,32529,32529
1724,1724,42071,34,32553,6,529,21,154,42305,3058,26017,32529,32529
1529,1529,42071,7,32553,81,410,21,154,42305,3058,26017,32529,32529
1356,1356,42071,92,32553,64,35202,21,154,42305,3058,26017,32529,32529
1184,1184,42071,11,32553,23,1,21,154,42305,3058,26017,32529,32529
1077,1077,4,3158,32553,37167,1318,3,154,42305,8960,26017,32529,32529
994,994,42071,1,32553,34,35202,21,154,42305,3058,26017,32529,32529
908,908,42071,12,32553,8,1318,21,16,42305,19723,26017,32529,32529
843,843,42071,150,32553,190,27,42265,154,42305,8960,26017,32529,32529
764,764,42071,389,32553,13,74,42265,154,42305,3058,26017,32529,32529
715,715,42071,150,32553,37167,1318,42265,154,42305,3058,26017,32529,32529
658,658,42071,15,32553,20,79,21,154,42305,3058,26017,32529,32529
616,616,42071,29,32553,37167,78,21,154,42305,3058,26017,32529,32529
575,575,42071,92,32553,37,305,21,154,42305,19723,26017,32529,32529
2932,2932,42071,50,32553,1,529,21,9,42305,19723,26017,32529,32529
2373,2373,42071,26183,32553,21,12,42265,9,42305,686,26017,32529,32529
2010,2010,42071,16,32553,37167,410,42265,3,42305,686,26017,32529,32529
1724,1724,42071,3158,32553,37167,45,21,9,42305,19723,26017,32529,32529
1529,1529,42071,2,32553,9,2,42265,6,42305,686,26017,32529,32529
1356,1356,42071,327,32553,2,343,42265,6,42305,19723,26017,32529,32529
1184,1184,42071,3158,32553,37167,529,42265,3,42305,2068,26017,32529,32529
1077,1077,42071,20,32553,11,78,42265,6,42305,19723,26017,32529,32529
4155,4155,42071,1,32553,37167,305,21,217,42305,19723,26017,32529,32529
2932,2932,42071,79,32553,13,41,21,217,42305,19723,26017,32529,32529
2373,2373,42071,156,32553,37167,403,21,217,42305,19723,26017,32529,32529
2010,2010,42071,3158,32553,7,343,21,217,42305,19723,26017,32529,32529
1724,1724,42071,3158,32553,213,35202,21,217,42305,19723,26017,32529,32529
1529,1529,42071,43,32553,15,335,21,217,42305,19723,26017,32529,32529
1356,1356,2,79,32553,8,343,3,217,42305,19723,26017,32529,32529
1184,1184,42071,34,32553,37167,1,42265,217,42305,19723,26017,32529,32529
1077,1077,42071,1,32553,12,3,21,217,42305,19723,26017,32529,32529
4155,4155,42071,92,32553,37167,1318,42265,33,42305,19723,26017,32529,32529
2932,2932,42071,11,32553,2,45,3,33,42305,19723,26017,32529,32529
2373,2373,42071,26183,32553,38,24,42265,33,42305,19723,26017,32529,32529
2010,2010,42071,29,32553,34,410,21,33,42305,19723,26017,32529,32529
1724,1724,42071,1,32553,37167,37,21,33,42305,19723,26017,32529,32529
4155,4155,42071,123,32553,37,73,21,65,42305,8960,26017,32529,32529
2932,2932,42071,92,32553,9,1318,3,65,42305,8960,26017,32529,32529
2373,2373,42071,79,32553,37167,3,42265,65,42305,8960,26017,32529,32529
287,287,42071,20,32553,2,529,21,160,42305,8960,26017,32529,32529
273,273,42071,16,32553,2,343,21,28,42305,8960,26017,32529,32529
261,261,42071,3158,32553,37167,410,21,160,42305,8960,26017,32529,32529
250,250,42071,14,32553,3,343,21,160,42305,8960,26017,32529,32529
231,231,42071,471,32553,133,217,3,160,42305,8960,26017,32529,32529
215,215,42071,32,32553,213,1318,21,160,42305,8960,26017,32529,32529
212,212,42071,3158,32553,133,1318,21,160,42305,8960,26017,32529,32529
207,207,4,3158,32553,5,529,42265,160,42305,8960,26017,32529,32529
215,215,4,37,32553,37167,35202,21,160,42305,3058,26017,32529,32529
212,212,42071,3158,32553,25,343,42265,160,42305,3058,26017,32529,32529
207,207,42071,94,32553,190,1,21,160,42305,3058,26017,32529,32529
197,197,42071,29,32553,78,1318,42265,160,42305,3058,26017,32529,32529
191,191,42071,4,32553,190,1,3,160,42305,3058,26017,32529,32529
186,186,42071,2,32553,24,3,21,160,42305,8960,26017,32529,32529
180,180,42071,50,32553,27,1318,42265,160,42305,3058,26017,32529,32529
176,176,42071,1,32553,37167,74,21,28,42305,8960,26017,32529,32529
174,174,42071,3,32553,5,27,21,160,42305,19723,26017,32529,32529
163,163,42071,13,32553,37167,73,42265,160,42305,3058,26017,32529,32529
4155,4155,42071,43,32553,37167,8,42265,65,42305,3058,26017,32529,32529
2932,2932,42071,3158,32553,3,410,42265,65,42305,686,26017,32529,32529
2373,2373,42071,3158,32553,44,12,42265,65,42305,3058,26017,32529,32529
2010,2010,42071,42,32553,2,70,3,65,42305,3058,26017,32529,32529
1724,1724,42071,3158,32553,6,403,21,378,42305,19723,26017,32529,32529
1529,1529,42071,56,32553,37167,79,42265,65,42305,686,26017,32529,32529
