START_TIME,PS_TNDR_REQ,PS_TNDR_AMNT,PS_EMD_REQ,ZFYLX,CHANGE_BY,PROCESS_TYPE,STATUS,APPROVE,PROC_GROUP,ZZ_NOTICE,ZZ_DAPPROVE,ZZ_EC,ZZ_URL,ITEM_MODIFY,PURCHASE_MODIFY,STANDARD_MODIFY,ZZ_PBYZ,ZZ_ZBFYF_S,ZJ_LBMS,ZZ_PBRS,ZQUOT_VIS,ZZ_LB
10591,1,10857,1,8074,17,6895,10068,9258,438,23,4536,125,10723,10709,37,183,147,4164,1679,3574,3360,124
10591,1,10857,1,8074,17,6895,10068,9258,438,37,4536,125,10723,10709,37,183,147,4164,1679,3574,3360,124
10591,1,10857,1,8074,847,6895,10068,9258,438,31,4536,10722,10723,10709,37,183,147,4164,1679,3574,3360,124
10591,1,10857,1,8074,17,6895,10068,9258,438,31,4536,125,10723,10709,37,183,147,4164,1679,3574,3360,124
10591,1,10857,1,8074,17,6895,10068,9258,438,37,4536,125,10723,16,37,183,147,4164,1679,3574,3360,124
10591,1,10857,1,8074,847,6895,10068,9258,438,23,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,17,6895,10068,9258,438,37,4536,125,10723,16,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,847,6895,10068,9258,438,37,4536,125,10723,10709,37,183,147,4164,1679,3574,3360,124
10591,1,10857,1,8074,17,6895,10068,9258,438,37,4536,2,10723,10709,37,183,147,4164,1679,3574,3360,124
10591,1,10857,1,8074,847,6895,10068,9258,438,10724,4536,125,10723,10709,37,183,2944,4164,1679,3574,3360,124
10591,1,10857,1,8074,17,6895,10068,9258,438,10724,4536,125,10723,10709,37,183,2944,4164,1679,3574,3360,124
10591,1,10857,1,8074,893,2645,10068,9258,412,23,4536,125,10723,10709,37,183,116,4164,1679,3574,3360,124
10591,1,10857,1,8074,893,2645,10068,9258,412,37,4536,125,10723,10709,37,183,116,4164,1679,3574,3360,124
10591,1,10857,1,8074,1333,2645,10068,9258,479,23,4536,125,10723,16,37,183,47,4164,1679,3574,3360,124
10591,1,10857,1,8074,1333,2645,10068,9258,479,37,4536,125,10723,10709,37,183,47,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,2645,10068,9258,195,10724,4536,125,10723,10709,37,183,109,4164,166,3574,3360,124
